"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.928228918E0,3.964241147E-1,4.101490974E-2,-8.122978210E-1,9.047994538E-1
3.946837980E0,3.786439896E-1,5.974638462E-2,3.242492676E-3,3.833424253E-1
3.965399178E0,3.262717128E-1,-1.004099846E-3,2.930374146E-1,4.385489313E-1
3.983960480E0,1.845925152E-1,1.585453749E-1,-2.682971954E-2,2.448078153E-1
4.002474022E0,4.299527407E-1,4.900451899E-1,-4.396066666E-1,7.862936275E-1
4.021038449E0,5.034751892E-1,7.941600084E-1,-4.650812149E-1,1.049036664E0
4.039644283E0,3.712537885E-1,8.501464128E-1,-3.817005157E-1,1.003131887E0
4.058205533E0,1.717790961E-1,8.287667632E-1,-2.062206268E-1,8.711425558E-1
4.076719074E0,-1.120984256E-1,8.821001053E-1,2.870359421E-1,9.343748096E-1
4.095280324E0,-1.606136560E-3,7.941767573E-1,6.450357437E-1,1.023127759E0
4.113889335E0,2.473376989E-1,6.514154077E-1,6.921129227E-1,9.821090919E-1
4.132420793E0,4.231195152E-1,5.614338517E-1,5.976181030E-1,9.227055278E-1
4.150982095E0,5.212370753E-1,4.421467781E-1,5.616483688E-1,8.846642031E-1
4.169525376E0,3.716081381E-1,5.224173665E-1,6.378650665E-1,9.043695905E-1
4.188086678E0,3.633080423E-1,4.410998821E-1,5.625238419E-1,8.018696355E-1
4.206696783E0,-1.116546541E-1,6.151545048E-1,4.376220703E-1,7.631480217E-1
4.225256939E0,-4.611198306E-1,6.893460751E-1,6.716699600E-1,1.067225395E0
4.243819387E0,-3.268418908E-1,6.338278055E-1,9.973068237E-1,1.226044130E0
4.262331730E0,1.074944139E-1,3.560046554E-1,1.191811562E0,1.248482744E0
4.280896158E0,3.671464920E-1,5.291944742E-2,1.070797920E0,1.133227780E0
4.299501991E0,4.741794169E-1,-1.739546657E-1,7.345418930E-1,8.914359975E-1
