"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.626350458E0,3.484734297E-1,-5.496390462E-1,-3.451910019E-1,7.366774329E-1
3.644958792E0,-3.027483821E-3,-6.547452807E-1,-3.484878540E-1,7.417171514E-1
3.663471136E0,-1.978385299E-1,-7.095243931E-1,-5.522928238E-1,9.206477673E-1
3.682031500E0,-9.667423368E-2,-5.780904293E-1,-7.051439285E-1,9.169309744E-1
3.700591865E0,7.787075639E-2,-4.266316295E-1,-8.589220047E-1,9.621982187E-1
3.719152229E0,1.387550086E-1,-3.949164748E-1,-8.975458145E-1,9.903537063E-1
3.737712542E0,1.871987134E-1,-3.507429361E-1,-6.852130890E-1,7.922000649E-1
3.756272906E0,3.079907894E-1,-1.886375546E-1,-3.294687271E-1,4.888681781E-1
3.774833271E0,6.281495094E-1,-1.484267712E-1,-2.470340729E-1,6.911064648E-1
3.793393636E0,5.775291920E-1,-2.200536728E-1,-2.022590637E-1,6.502863334E-1
3.811953948E0,3.638559580E-1,-3.025236130E-1,-8.130931854E-2,4.801280036E-1
3.830514313E0,3.449072242E-1,-2.813711762E-1,-1.819381714E-1,4.808661252E-1
3.849074677E0,5.076009631E-1,-8.193898201E-2,-5.364704132E-1,7.430836015E-1
3.867635042E0,5.934488773E-1,9.414196014E-3,-6.247949600E-1,8.617650139E-1
3.886195406E0,4.959737062E-1,6.447875500E-2,-5.663795471E-1,7.556012298E-1
3.904755719E0,3.332895041E-1,9.502905607E-2,-3.895683289E-1,5.214172013E-1
3.923319104E0,2.642346323E-1,7.162779570E-2,-3.700256348E-1,4.602927898E-1
3.941876448E0,2.751171589E-1,1.059761047E-1,-5.069618225E-1,5.864560302E-1
3.960436813E0,4.287230074E-1,2.349110842E-1,-5.410785675E-1,7.292137209E-1
3.978997177E0,5.853803158E-1,3.870275617E-1,-3.274621964E-1,7.743977903E-1
3.997557490E0,4.936766624E-1,4.127441645E-1,2.025127411E-2,6.438047114E-1
4.016117854E0,3.627230227E-1,3.204773068E-1,3.736753464E-1,6.114793209E-1
4.034678219E0,3.227469027E-1,2.791771293E-1,6.502294540E-1,7.777556015E-1
4.053238583E0,3.244336247E-1,2.960486412E-1,5.982704163E-1,7.421788637E-1
4.071798896E0,4.617164135E-1,3.518543243E-1,2.283430099E-1,6.237980781E-1
4.090359261E0,4.009349942E-1,5.017824769E-1,4.158020020E-4,6.422886396E-1
4.108919625E0,2.312860638E-1,6.476887465E-1,6.577396393E-2,6.908836153E-1
4.127479990E0,9.226374328E-2,6.353960633E-1,2.110099792E-1,6.758446323E-1
4.146040302E0,1.220510751E-1,4.273008704E-1,6.839551926E-1,8.156452686E-1
4.164600667E0,2.918317914E-1,1.367998123E-2,1.480371475E0,1.508924332E0
4.183161031E0,2.419426739E-1,-3.500777483E-1,2.502211571E0,2.538139758E0
4.201812073E0,4.778438061E-2,-7.072745562E-1,2.653200150E0,2.746268683E0
4.220281708E0,-6.433161348E-2,-8.419889212E-1,1.616914749E0,1.824142869E0
4.238842073E0,-1.789654642E-1,-6.458469629E-1,2.404127121E-1,7.120008491E-1
4.257389521E0,-2.105168104E-1,-3.574539423E-1,-9.491872787E-1,1.035879886E0
4.275962802E0,-3.967173696E-1,-2.334908247E-1,-1.332636833E0,1.409901970E0
4.294523167E0,-6.256322861E-1,-3.707857430E-1,-1.006981850E0,1.242139392E0
4.313083479E0,-8.674560189E-1,-6.830001473E-1,-4.866638184E-1,1.206569856E0
4.331643844E0,-8.803421259E-1,-1.020882130E0,-1.596651077E-1,1.357459218E0
4.350204208E0,-8.021944761E-1,-1.206783772E0,-1.190776825E-1,1.453967862E0
4.368764573E0,-5.455834270E-1,-1.394399881E0,-4.515047073E-1,1.563927366E0
4.387324886E0,-4.956899881E-1,-1.223801017E0,-7.308025360E-1,1.509128835E0
4.405885250E0,-5.333482623E-1,-1.025729895E0,-6.261129379E-1,1.314762183E0
4.424445615E0,-6.412947774E-1,-8.242030740E-1,-4.664564133E-1,1.143744414E0
4.443005979E0,-6.584994793E-1,-6.882954836E-1,-2.384243011E-1,9.819462227E-1
4.461566292E0,-7.242316008E-1,-6.441044807E-1,-2.394199371E-1,9.983505897E-1
4.480126656E0,-8.532919884E-1,-7.514280081E-1,-4.855289459E-1,1.236321004E0
4.498687021E0,-9.499236345E-1,-8.375315666E-1,-4.975147247E-1,1.360637695E0
4.517247386E0,-9.615389109E-1,-8.650377393E-1,-4.763975143E-1,1.378333036E0
4.535807698E0,-8.433521390E-1,-8.341478705E-1,-4.826326370E-1,1.280616946E0
4.554368063E0,-6.197221279E-1,-6.895895600E-1,-2.491016388E-1,9.600213037E-1
4.572928427E0,-5.287616849E-1,-5.064153671E-1,1.073379517E-1,7.399776208E-1
4.591488792E0,-5.456556082E-1,-4.069473743E-1,2.515249252E-1,7.256796788E-1
4.610049104E0,-6.269059777E-1,-3.067012131E-1,1.375503540E-1,7.113345478E-1
4.628609469E0,-6.141611338E-1,-2.359455228E-1,-1.588726044E-2,6.581159419E-1
4.647169833E0,-6.110695601E-1,-1.283633709E-1,4.767704010E-2,6.262238117E-1
4.665730198E0,-5.271450281E-1,5.449938774E-2,1.960496902E-1,5.650553468E-1
4.684338271E0,-3.576185703E-1,2.365560532E-1,4.231529236E-1,6.024186293E-1
4.702850875E0,-2.057836205E-1,4.048021436E-1,6.438312531E-1,7.878644276E-1
4.721414365E0,-1.021483094E-1,4.259340167E-1,6.338930130E-1,7.705027032E-1
4.739971604E0,-2.929701209E-1,5.204387307E-1,4.980974197E-1,7.776818139E-1
4.758531969E0,-5.836920738E-1,5.324540138E-1,1.126146317E-1,7.980512322E-1
4.777092281E0,-7.360919714E-1,5.176167488E-1,-1.795539856E-1,9.176045568E-1
4.795652646E0,-6.588500738E-1,5.538988709E-1,4.484367371E-2,8.619155029E-1
4.814213011E0,-5.443953276E-1,5.119156837E-1,4.757537842E-1,8.858699696E-1
4.832773375E0,-7.242393494E-1,5.715566874E-1,9.951877594E-1,1.357055031E0
4.851333688E0,-5.566970110E-1,7.090021968E-1,1.168741226E0,1.475991779E0
4.869894052E0,-3.035269380E-1,8.711960316E-1,8.009157181E-1,1.221710733E0
4.888454417E0,-9.684036672E-2,8.534999490E-1,1.639738083E-1,8.744870664E-1
4.907014781E0,-2.710452080E-1,5.383037329E-1,-1.763114929E-1,6.279507593E-1
4.925623063E0,-8.417230248E-1,5.125943422E-1,4.712324142E-1,1.092387568E0
4.944135458E0,-9.125639796E-1,2.830580473E-1,1.398329735E0,1.693582275E0
4.962698792E0,-8.248413205E-1,2.997139990E-1,2.209795952E0,2.377685815E0
4.981256188E0,-5.304906368E-1,4.082360864E-2,2.247648239E0,2.309763947E0
4.999816500E0,-2.450694144E-1,-3.066707551E-1,1.673491478E0,1.718918176E0
5.018376865E0,-4.304682463E-2,-5.437830687E-1,1.509813309E0,1.605331518E0
5.036937229E0,1.937360615E-1,-8.364174366E-1,1.908107758E0,2.092367799E0
5.055497594E0,3.077313304E-1,-1.043496490E0,2.707453728E0,2.917856950E0
5.074057906E0,3.952886462E-1,-1.239572525E0,3.319588661E0,3.565453974E0
5.092618271E0,2.544550002E-1,-1.183300734E0,2.982621193E0,3.218847178E0
5.111178636E0,2.402551472E-1,-1.095766783E0,1.529414177E0,1.896716927E0
5.129739000E0,4.650603533E-1,-1.025375724E0,-6.004428864E-2,1.127511341E0
5.148286396E0,7.624689937E-1,-1.006873608E0,-7.733659744E-1,1.480961971E0
5.166859677E0,7.923137546E-1,-1.099383950E0,-4.936094284E-1,1.442240071E0
5.185420042E0,7.616332769E-1,-1.394428253E0,-1.174516678E-1,1.593207550E0
5.204028115E0,5.553734303E-1,-1.566395044E0,9.365081787E-3,1.661962932E0
5.222540719E0,6.169943213E-1,-1.600338101E0,-3.884439468E-1,1.758593964E0
5.241193167E0,6.774874926E-1,-1.450324774E0,-9.634046555E-1,1.868309338E0
5.259661448E0,6.931011677E-1,-1.222251773E0,-1.252528191E0,1.882316523E0
5.278221813E0,6.320394278E-1,-1.007893205E0,-1.355642319E0,1.803632071E0
5.296782125E0,4.136136174E-1,-8.896135092E-1,-1.026921272E0,1.420230868E0
5.315342490E0,2.803943753E-1,-9.555335045E-1,-7.455844879E-1,1.244010254E0
5.333902854E0,1.649242789E-1,-9.245122671E-1,-6.141719818E-1,1.122109697E0
5.352463219E0,2.761873901E-1,-8.185892105E-1,-8.743104935E-1,1.229140598E0
5.371023531E0,4.845133424E-1,-5.704596043E-1,-1.305939674E0,1.505209544E0
5.389583896E0,6.960955262E-1,-2.681133449E-1,-1.654829979E0,1.815184841E0
5.408144261E0,7.192252874E-1,2.261281013E-2,-1.782923698E0,1.922657865E0
5.426704625E0,7.195789814E-1,1.554166079E-1,-1.655100822E0,1.811437817E0
5.445264938E0,6.709886789E-1,1.286919713E-1,-1.593271255E0,1.733580320E0
5.463825302E0,6.099609733E-1,8.336639404E-2,-1.595378876E0,1.710039795E0
5.482388948E0,6.419920325E-1,1.165719032E-1,-1.744769096E0,1.862783395E0
5.500945979E0,7.033655643E-1,7.373774052E-2,-2.013634205E0,2.134217206E0
5.519506344E0,7.171081305E-1,7.536727190E-2,-1.996658802E0,2.122868500E0
5.538066708E0,6.056211591E-1,1.319564581E-1,-1.342591286E0,1.478763286E0
5.556627073E0,6.001058817E-1,8.187341690E-2,-5.765218735E-1,8.361864602E-1
5.575187386E0,5.566264987E-1,1.214753985E-1,-1.630401611E-2,5.699606587E-1
5.593747750E0,5.675746202E-1,1.778184772E-1,2.133970261E-1,6.319008238E-1
5.612308115E0,5.664087534E-1,1.982762814E-1,-1.500883102E-1,6.185942616E-1
5.630868479E0,5.066657066E-1,2.694258690E-1,-5.247716904E-1,7.776154346E-1
5.649428792E0,4.391636848E-1,4.106839895E-1,-7.521915436E-2,6.059570963E-1
5.667989156E0,3.682042360E-1,3.503630757E-1,6.017875671E-1,7.877035738E-1
5.686549521E0,-5.938898027E-2,2.247975469E-1,7.259864807E-1,7.623105392E-1
5.705109833E0,-2.815710008E-1,2.227827311E-1,3.682899475E-1,5.143460500E-1
5.723673479E0,9.103229642E-2,3.998662829E-1,1.219053268E-1,4.278327149E-1
5.742230563E0,6.032670736E-1,5.077413917E-1,9.212779999E-2,7.938639773E-1
